S.No.,indicator code,Indicators,sub indicators,NFHS-5 (2019-20),Unnamed: 5,Unnamed: 6,NFHS-4 2015-16,STATE/UT
1697.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),(11.7),19.0,18.1,8.5,Ladakh
1698.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.0),1.2,1.1,0.0,Ladakh
1699.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),(6.1),9.0,8.7,1.2,Ladakh
1700.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),3.5,3.1,3.2,na,Ladakh
1701.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),39.8,34.8,35.7,na,Ladakh
1702.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),5.3,3.4,3.8,na,Ladakh
1703.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),21.1,24.2,23.6,na,Ladakh
1804.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,14.6,10.7,12.4,na,Maharashtra
1807.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,15.3,12.4,13.6,na,Maharashtra
1810.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,23.8,22.6,23.1,na,Maharashtra
1813.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,25.7,23.5,24.4,na,Maharashtra
1828.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),21.0,28.6,25.2,21.3,Maharashtra
